# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V1212	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Объём: 72 сцены в лекцию не влезают — владелец снял сюжет при сверке габарита	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 68–72	структура лекции	замечание	Решение владельца при сверке объёма: 72 сцены не влезали.
V1213	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Маршрут забракован за то, что «не комбинаторный и долго доказывается»	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 80–81	математика	спорное	как «не комбинаторный и долго доказывается»
V1214	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Сюжет, который «отдельного слайда не стоит», и жалоба на собственное обещание в анонсе	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 93–95	структура лекции	спорное	отдельного слайда он не стоит»
V1215	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Объект должен обнаруживаться, а не подаваться украшением: сначала счёт, потом узнавание	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 105–107	структура лекции	замечание	2. Открытие, а не декорация: треугольник обнаруживается. Сначала вероятности столбцами, потом
V1216	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Один и тот же приём применять унифицированно всюду, где он проходит	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 107–108	структура лекции	спорное	3. Разрез по последнему шагу везде, где возможно — унифицированно. У Паскаля это не «разрез»,
V1217	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Языки объекта нельзя молча схлопывать: для детей это самостоятельный язык	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 109–110	структура лекции	спорное	Последний для детей самостоятельный язык, молча схлопывать нельзя.
V1218	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Никаких голосований в зале: «это не квиз, людям неоткуда знать»	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 111–112	процедура	замечание	**Никаких голосований.** «Это не квиз, людям неоткуда знать»
V1219	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Вопрос в зал — выписать объекты, и по нарастающей длине, не сразу самый большой случай	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 113–114	процедура	замечание	По нарастающей длине: 1, потом 2, потом 3 — не сразу 4.
V1220	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Нетривиальная формула не выходит на слайд без подписи-перевода и одной упакованной идеи	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 115–116	текст	замечание	7. Нетривиальная формула — с подписью-переводом и одной упакованной идеей.
V1221	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Слайд — это мысль: одна мысль в двух видах даёт сцены, а не два слайда	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строка 117	структура лекции	замечание	**Слайд — это мысль.** Одна мысль в двух видах — сцены, а не два слайда.
V1222	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md	Снятие блюра сценой не считается: сцена — новый кусок содержания	_studio/zhurnal/2026-07-27_paskal-lekcia-sborka/SESSIYA.md### 2026-07-27 — Ф0 пройдена, архитектура собрана, концепт готов, строки 118–119	структура лекции	замечание	**Снятие блюра — НЕ сцена.** Сцена — новый кусок содержания, который в предыдущий не влезает.
